query_id,filter_expr,chosen_strategy,chosen_index,actual_recall,latency_ms,fallback
q_00035,"age ∈ [20,60] AND country = 'US'",root search,root,0.949,0.29,否
q_00036,department = 'R&D',upward search,attr = D → root,0.928,0.82,否
q_00037,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.972,0.75,否
q_00038,rare_tag = 'X' AND attr = 'Z',root search,root,0.965,1.1,否
q_00039,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.959,0.77,否
q_00040,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.933,0.64,否
q_00041,city = 'Beijing',covering search,attr = country,0.933,0.29,否
q_00042,city = 'Beijing',covering search,attr = age,0.974,1.32,否
q_00043,city = 'Beijing',root search,root,0.937,0.83,否
q_00044,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.955,0.52,否
q_00045,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.926,1.06,否
q_00046,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.948,1.15,否
q_00047,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.924,1.15,否
q_00048,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.931,0.9,否
q_00049,city = 'Beijing',root search,root,0.937,0.52,否
q_00050,"income ∈ [50k, 100k] AND hobby = 'Music'",brute-force fallback,N/A,0.986,5.42,是
q_00051,"age ∈ [20,60] AND country = 'US'",root search,root,0.98,1.29,否
q_00052,department = 'R&D',brute-force fallback,N/A,0.989,2.67,是
q_00053,city = 'Beijing',covering search,attr = income,0.974,0.41,否
q_00054,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.936,1.22,否
q_00055,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.977,1.49,否
q_00056,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.929,0.59,否
q_00057,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.981,2.24,是
q_00058,"age ∈ [20,60] AND gender = 'M'",root search,root,0.955,0.85,否
q_00059,city = 'Beijing',upward search,attr = D → root,0.978,0.3,否
q_00060,rare_tag = 'X' AND attr = 'Z',root search,root,0.924,1.32,否
q_00061,rare_tag = 'X' AND attr = 'Z',root search,root,0.935,0.97,否
q_00062,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.955,0.88,否
q_00063,city = 'Beijing',brute-force fallback,N/A,0.976,3.26,是
q_00064,city = 'Beijing',root search,root,0.96,0.59,否
q_00065,department = 'R&D',root search,root,0.976,0.21,否
q_00066,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.924,0.48,否
q_00067,"age ∈ [20,60] AND attr = 'D'",root search,root,0.973,1.34,否
q_00068,city = 'Beijing',root search,root,0.946,0.91,否
q_00069,department = 'R&D',root search,root,0.959,0.21,否
q_00070,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.976,0.37,否
q_00071,"age ∈ [20,60] AND gender = 'M'",root search,root,0.965,0.4,否
q_00072,city = 'Beijing',root search,root,0.963,0.46,否
q_00073,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.949,1.38,否
q_00074,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.97,0.26,否
q_00075,city = 'Beijing',root search,root,0.958,0.54,否
q_00076,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.954,0.35,否
q_00077,"age ∈ [20,60] AND country = 'US'",brute-force fallback,N/A,0.992,4.18,是
q_00078,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.946,0.25,否
q_00079,department = 'R&D',root search,root,0.978,0.25,否
q_00080,"age ∈ [20,60] AND country = 'US'",root search,root,0.935,0.33,否
q_00081,department = 'R&D',upward search,attr = B → root,0.978,1.17,否
q_00082,city = 'Beijing',brute-force fallback,N/A,0.99,5.9,是
q_00083,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.931,1.4,否
q_00084,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.936,1.22,否
q_00085,department = 'R&D',root search,root,0.922,0.81,否
q_00086,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.941,1.27,否
q_00087,city = 'Beijing',upward search,attr = D → root,0.96,0.72,否
q_00088,"age ∈ [20,60] AND gender = 'M'",root search,root,0.978,0.56,否
q_00089,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.979,0.9,否
q_00090,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.991,3.04,是
q_00091,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.927,0.76,否
q_00092,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.956,0.86,否
q_00093,rare_tag = 'X' AND attr = 'Z',root search,root,0.931,0.26,否
q_00094,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.961,1.42,否
q_00095,city = 'Beijing',upward search,attr = B → root,0.946,1.43,否
q_00096,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.952,5.39,是
q_00097,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.939,0.73,否
q_00098,"age ∈ [20,60] AND attr = 'D'",root search,root,0.953,0.45,否
q_00099,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.965,0.43,否
q_00100,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.97,0.6,否
q_00101,department = 'R&D',root search,root,0.955,1.05,否
q_00102,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.933,0.82,否
q_00103,department = 'R&D',upward search,attr = D → root,0.96,0.57,否
q_00104,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.926,1.44,否
q_00105,"age ∈ [20,60] AND attr = 'D'",root search,root,0.933,0.46,否
q_00106,city = 'Beijing',root search,root,0.979,0.99,否
q_00107,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.973,0.95,否
q_00108,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.944,0.39,否
q_00109,department = 'R&D',covering search,attr = age,0.967,0.48,否
q_00110,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.923,0.52,否
q_00111,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.968,1.07,否
q_00112,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.952,5.02,是
q_00113,department = 'R&D',covering search,attr = country,0.974,0.75,否
q_00114,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.965,0.82,否
q_00115,city = 'Beijing',root search,root,0.97,0.56,否
q_00116,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.936,0.3,否
q_00117,"age ∈ [20,60] AND attr = 'D'",root search,root,0.94,1.36,否
q_00118,city = 'Beijing',root search,root,0.934,1.1,否
q_00119,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.944,0.91,否
q_00120,city = 'Beijing',covering search,attr = income,0.943,1.2,否
q_00121,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.989,5.06,是
q_00122,"age ∈ [20,60] AND gender = 'M'",root search,root,0.977,0.59,否
q_00123,department = 'R&D',root search,root,0.945,1.17,否
q_00124,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.949,0.55,否
q_00125,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.96,1.24,否
q_00126,department = 'R&D',covering search,attr = income,0.975,1.47,否
q_00127,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.954,0.24,否
q_00128,city = 'Beijing',covering search,attr = income,0.931,0.54,否
q_00129,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.94,1.19,否
q_00130,department = 'R&D',root search,root,0.977,0.75,否
q_00131,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.965,0.27,否
q_00132,city = 'Beijing',brute-force fallback,N/A,0.975,5.12,是
q_00133,department = 'R&D',covering search,attr = age,0.977,0.46,否
q_00134,city = 'Beijing',root search,root,0.934,0.82,否
q_00135,city = 'Beijing',root search,root,0.948,0.53,否
q_00136,rare_tag = 'X' AND attr = 'Z',root search,root,0.956,1.17,否
q_00137,department = 'R&D',root search,root,0.93,0.6,否
q_00138,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.961,1.45,否
q_00139,"age ∈ [20,60] AND country = 'US'",root search,root,0.932,0.97,否
q_00140,city = 'Beijing',upward search,attr = D → root,0.962,0.59,否
q_00141,department = 'R&D',covering search,attr = age,0.968,0.94,否
q_00142,rare_tag = 'X' AND attr = 'Z',root search,root,0.946,0.68,否
q_00143,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.971,1.27,否
q_00144,"age ∈ [20,60] AND attr = 'D'",root search,root,0.958,1.28,否
q_00145,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.964,1.46,否
q_00146,department = 'R&D',root search,root,0.975,1.21,否
q_00147,department = 'R&D',covering search,attr = country,0.956,0.62,否
q_00148,"age ∈ [20,60] AND gender = 'M'",root search,root,0.937,0.79,否
q_00149,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.94,0.84,否
q_00150,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.933,1.24,否
q_00151,rare_tag = 'X' AND attr = 'Z',root search,root,0.962,0.56,否
q_00152,city = 'Beijing',root search,root,0.925,1.14,否
q_00153,department = 'R&D',covering search,attr = age,0.961,1.04,否
q_00154,department = 'R&D',covering search,attr = age,0.926,0.49,否
q_00155,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.955,0.82,否
q_00156,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.953,0.66,否
q_00157,"age ∈ [20,60] AND attr = 'D'",covering search,attr = income,0.934,1.14,否
q_00158,"age ∈ [20,60] AND country = 'US'",root search,root,0.952,1.19,否
q_00159,city = 'Beijing',root search,root,0.964,0.56,否
q_00160,department = 'R&D',covering search,attr = country,0.956,1.47,否
q_00161,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.942,0.59,否
q_00162,city = 'Beijing',covering search,attr = income,0.923,0.27,否
q_00163,city = 'Beijing',root search,root,0.958,1.18,否
q_00164,"age ∈ [20,60] AND gender = 'M'",root search,root,0.954,0.81,否
q_00165,city = 'Beijing',covering search,attr = age,0.935,1.32,否
q_00166,"age ∈ [20,60] AND gender = 'M'",root search,root,0.944,0.3,否
q_00167,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.929,0.93,否
q_00168,city = 'Beijing',root search,root,0.927,1.19,否
q_00169,department = 'R&D',covering search,attr = country,0.934,0.88,否
q_00170,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.972,1.49,否
q_00171,rare_tag = 'X' AND attr = 'Z',root search,root,0.924,1.45,否
q_00172,department = 'R&D',root search,root,0.932,0.47,否
q_00173,city = 'Beijing',covering search,attr = age,0.93,0.3,否
q_00174,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.961,0.81,否
q_00175,"age ∈ [20,60] AND attr = 'D'",root search,root,0.962,1.11,否
q_00176,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.975,1.22,否
q_00177,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.946,0.91,否
q_00178,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.924,0.42,否
q_00179,"age ∈ [20,60] AND country = 'US'",root search,root,0.969,1.4,否
q_00180,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.938,0.72,否
q_00181,rare_tag = 'X' AND attr = 'Z',root search,root,0.95,0.3,否
q_00182,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.964,0.98,否
q_00183,city = 'Beijing',root search,root,0.978,1.29,否
q_00184,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.969,0.95,否
q_00185,city = 'Beijing',upward search,attr = B → root,0.951,0.77,否
q_00186,rare_tag = 'X' AND attr = 'Z',root search,root,0.946,1.26,否
q_00187,"income ∈ [50k, 100k] AND hobby = 'Music'",brute-force fallback,N/A,0.954,3.33,是
q_00188,department = 'R&D',covering search,attr = age,0.94,1.1,否
q_00189,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.969,0.92,否
q_00190,"age ∈ [20,60] AND attr = 'D'",covering search,attr = income,0.939,1.46,否
q_00191,rare_tag = 'X' AND attr = 'Z',root search,root,0.969,0.2,否
q_00192,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.923,0.87,否
q_00193,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.947,0.27,否
q_00194,city = 'Beijing',root search,root,0.976,0.77,否
q_00195,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.978,0.99,否
q_00196,city = 'Beijing',root search,root,0.939,0.22,否
q_00197,city = 'Beijing',root search,root,0.98,1.39,否
q_00198,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.97,0.85,否
q_00199,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.936,1.29,否
q_00200,city = 'Beijing',brute-force fallback,N/A,0.962,2.58,是
q_00201,rare_tag = 'X' AND attr = 'Z',root search,root,0.95,1.34,否
q_00202,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.94,1.22,否
q_00203,"age ∈ [20,60] AND gender = 'M'",root search,root,0.937,0.59,否
q_00204,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.972,0.78,否
q_00205,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.966,0.69,否
q_00206,department = 'R&D',brute-force fallback,N/A,0.943,4.79,是
q_00207,city = 'Beijing',covering search,attr = income,0.923,1.17,否
q_00208,department = 'R&D',covering search,attr = income,0.943,1.06,否
q_00209,city = 'Beijing',upward search,attr = B → root,0.978,0.36,否
q_00210,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.99,5.5,是
q_00211,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.921,0.39,否
q_00212,city = 'Beijing',upward search,attr = D → root,0.948,1.46,否
q_00213,"age ∈ [20,60] AND country = 'US'",root search,root,0.944,0.3,否
q_00214,"age ∈ [20,60] AND country = 'US'",root search,root,0.972,0.69,否
q_00215,"age ∈ [20,60] AND country = 'US'",root search,root,0.973,0.83,否
q_00216,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.934,1.09,否
q_00217,city = 'Beijing',root search,root,0.965,0.76,否
q_00218,"age ∈ [20,60] AND country = 'US'",root search,root,0.962,0.33,否
q_00219,"age ∈ [20,60] AND attr = 'D'",root search,root,0.974,0.26,否
q_00220,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.942,0.39,否
q_00221,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.968,0.42,否
q_00222,department = 'R&D',root search,root,0.943,1.09,否
q_00223,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.934,1.03,否
q_00224,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.974,0.8,否
q_00225,rare_tag = 'X' AND attr = 'Z',root search,root,0.929,0.77,否
q_00226,rare_tag = 'X' AND attr = 'Z',root search,root,0.938,1.45,否
q_00227,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.932,0.7,否
q_00228,city = 'Beijing',covering search,attr = income,0.954,0.95,否
q_00229,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.932,5.32,是
q_00230,"age ∈ [20,60] AND gender = 'M'",root search,root,0.954,1.09,否
q_00231,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.97,1.37,否
q_00232,city = 'Beijing',upward search,attr = B → root,0.933,0.45,否
q_00233,department = 'R&D',root search,root,0.963,1.06,否
q_00234,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.974,1.04,否
q_00235,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.922,0.67,否
q_00236,"age ∈ [20,60] AND attr = 'D'",root search,root,0.94,0.74,否
q_00237,department = 'R&D',root search,root,0.952,1.46,否
q_00238,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.935,1.27,否
q_00239,department = 'R&D',covering search,attr = income,0.965,0.64,否
q_00240,"age ∈ [20,60] AND gender = 'M'",root search,root,0.928,1.46,否
q_00241,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.978,1.25,否
q_00242,department = 'R&D',root search,root,0.944,0.54,否
q_00243,"age ∈ [20,60] AND attr = 'D'",root search,root,0.96,1.07,否
q_00244,department = 'R&D',covering search,attr = country,0.976,0.34,否
q_00245,"age ∈ [20,60] AND gender = 'M'",root search,root,0.957,1.43,否
q_00246,rare_tag = 'X' AND attr = 'Z',root search,root,0.933,0.28,否
q_00247,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.959,0.35,否
q_00248,"age ∈ [20,60] AND gender = 'M'",root search,root,0.938,0.84,否
q_00249,rare_tag = 'X' AND attr = 'Z',root search,root,0.928,0.79,否
q_00250,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.977,0.74,否
q_00251,city = 'Beijing',upward search,attr = B → root,0.959,1.28,否
q_00252,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.961,0.48,否
q_00253,city = 'Beijing',covering search,attr = income,0.926,1.09,否
q_00254,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.924,0.56,否
q_00255,department = 'R&D',brute-force fallback,N/A,0.987,2.37,是
q_00256,"age ∈ [20,60] AND country = 'US'",root search,root,0.956,0.23,否
q_00257,city = 'Beijing',upward search,attr = D → root,0.967,0.47,否
q_00258,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.955,1.26,否
q_00259,department = 'R&D',root search,root,0.929,1.37,否
q_00260,department = 'R&D',root search,root,0.979,1.48,否
q_00261,department = 'R&D',covering search,attr = age,0.927,1.33,否
q_00262,"age ∈ [20,60] AND attr = 'D'",root search,root,0.967,0.51,否
q_00263,city = 'Beijing',root search,root,0.936,0.36,否
q_00264,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.924,0.78,否
q_00265,rare_tag = 'X' AND attr = 'Z',root search,root,0.927,0.85,否
q_00266,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.98,5.64,是
q_00267,"age ∈ [20,60] AND attr = 'D'",covering search,attr = income,0.959,0.24,否
q_00268,department = 'R&D',brute-force fallback,N/A,0.958,4.74,是
q_00269,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.974,0.62,否
q_00270,city = 'Beijing',root search,root,0.937,1.02,否
q_00271,"age ∈ [20,60] AND attr = 'D'",covering search,attr = income,0.98,0.89,否
q_00272,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.926,1.11,否
q_00273,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.946,1.35,否
q_00274,department = 'R&D',covering search,attr = income,0.944,1.15,否
q_00275,"age ∈ [20,60] AND attr = 'D'",root search,root,0.96,0.69,否
q_00276,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.924,1.28,否
q_00277,"age ∈ [20,60] AND gender = 'M'",root search,root,0.965,0.68,否
q_00278,"age ∈ [20,60] AND gender = 'M'",root search,root,0.955,0.93,否
q_00279,"age ∈ [20,60] AND gender = 'M'",root search,root,0.945,1.34,否
q_00280,"income ∈ [50k, 100k] AND hobby = 'Music'",brute-force fallback,N/A,0.99,4.88,是
q_00281,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.952,2.41,是
q_00282,city = 'Beijing',covering search,attr = country,0.949,1.3,否
q_00283,rare_tag = 'X' AND attr = 'Z',root search,root,0.942,1.19,否
q_00284,department = 'R&D',covering search,attr = income,0.971,1.47,否
q_00285,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.957,1.06,否
q_00286,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.936,1.19,否
q_00287,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.93,5.48,是
q_00288,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.929,1.02,否
q_00289,"age ∈ [20,60] AND country = 'US'",root search,root,0.952,0.69,否
q_00290,city = 'Beijing',covering search,attr = income,0.939,0.62,否
q_00291,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.936,2.21,是
q_00292,rare_tag = 'X' AND attr = 'Z',root search,root,0.923,0.31,否
q_00293,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.956,0.74,否
q_00294,rare_tag = 'X' AND attr = 'Z',root search,root,0.927,0.76,否
q_00295,"age ∈ [20,60] AND country = 'US'",root search,root,0.956,0.89,否
q_00296,city = 'Beijing',root search,root,0.944,0.98,否
q_00297,"age ∈ [20,60] AND attr = 'D'",root search,root,0.977,1.2,否
q_00298,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.927,0.85,否
q_00299,city = 'Beijing',covering search,attr = income,0.952,0.5,否
q_00300,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.924,1.32,否
q_00301,"age ∈ [20,60] AND gender = 'M'",root search,root,0.948,0.3,否
q_00302,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.954,1.12,否
q_00303,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.921,0.62,否
q_00304,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.97,1.4,否
q_00305,department = 'R&D',root search,root,0.926,0.77,否
q_00306,"age ∈ [20,60] AND gender = 'M'",root search,root,0.944,0.6,否
q_00307,"age ∈ [20,60] AND attr = 'D'",root search,root,0.967,0.3,否
q_00308,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.932,1.21,否
q_00309,department = 'R&D',root search,root,0.959,0.39,否
q_00310,"age ∈ [20,60] AND attr = 'D'",root search,root,0.932,0.98,否
q_00311,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.931,1.2,否
q_00312,department = 'R&D',covering search,attr = country,0.966,0.78,否
q_00313,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.974,5.95,是
q_00314,"age ∈ [20,60] AND country = 'US'",root search,root,0.939,0.77,否
q_00315,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.968,0.97,否
q_00316,"age ∈ [20,60] AND gender = 'M'",root search,root,0.939,0.79,否
q_00317,department = 'R&D',root search,root,0.937,1.04,否
q_00318,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.972,4.03,是
q_00319,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.974,0.78,否
q_00320,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.939,0.82,否
q_00321,"age ∈ [20,60] AND gender = 'M'",root search,root,0.947,1.25,否
q_00322,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.95,0.42,否
q_00323,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.979,0.88,否
q_00324,"age ∈ [20,60] AND attr = 'D'",covering search,attr = income,0.975,0.7,否
q_00325,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.967,1.04,否
q_00326,"age ∈ [20,60] AND gender = 'M'",root search,root,0.953,0.7,否
q_00327,department = 'R&D',root search,root,0.959,1.38,否
q_00328,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.955,0.38,否
q_00329,"age ∈ [20,60] AND country = 'US'",root search,root,0.962,0.71,否
q_00330,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.954,1.04,否
q_00331,city = 'Beijing',root search,root,0.96,1.28,否
q_00332,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.959,0.75,否
q_00333,"age ∈ [20,60] AND attr = 'D'",root search,root,0.939,1.44,否
q_00334,department = 'R&D',root search,root,0.949,0.49,否
q_00335,"age ∈ [20,60] AND gender = 'M'",root search,root,0.938,1.22,否
q_00336,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.973,0.25,否
q_00337,department = 'R&D',root search,root,0.957,0.98,否
q_00338,city = 'Beijing',root search,root,0.97,1.2,否
q_00339,city = 'Beijing',upward search,attr = B → root,0.923,0.67,否
q_00340,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.937,1.17,否
q_00341,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.939,1.25,否
q_00342,department = 'R&D',covering search,attr = age,0.942,1.43,否
q_00343,"income ∈ [50k, 100k] AND hobby = 'Music'",brute-force fallback,N/A,0.983,5.11,是
q_00344,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.969,1.24,否
q_00345,"age ∈ [20,60] AND attr = 'D'",root search,root,0.923,0.82,否
